# Events file v1.0
#
# DATE            : 2025-04-02 at 20:58:13 (UTC)
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake)
# DESCRIPTION     : CHANGE events are taken from SPOTGINS station_file.dat
#                 : EQ events comes from the PyTRF Python librairy (P. Rebischung), based on Metivier et. al, 2014 model
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE DESCRIPTION
ALBH00CAN 49314.8132 199311231931 CHANGE Receiver change
ALBH00CAN 49368.1799 199401160419 CHANGE Receiver change
ALBH00CAN 49456.8576 199404142035 CHANGE Antenna change
ALBH00CAN 49728.9271 199501112215 CHANGE Antenna change
ALBH00CAN 49729.7833 199501121848 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 49875.8694 199506072052 CHANGE Antenna change
ALBH00CAN 49919.8097 199507211926 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 50667.7451 199708071753 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 51221.0000 199902120000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 51267.7917 199903301900 CHANGE Receiver change
ALBH00CAN 51355.7986 199906261910 CHANGE Receiver change
ALBH00CAN 51407.6458 199908171530 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 51618.7625 200003151818 CHANGE Receiver change
ALBH00CAN 52877.6771 200308261615 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 52885.7743 200309031835 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 52887.7028 200309051652 CHANGE Antenna & Radome change
ALBH00CAN 52890.8035 200309081917 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 53032.7708 200401281830 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 53655.6979 200510121645 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 57280.7917 201509151900 CHANGE Receiver & Antenna change
ALBH00CAN 57548.0000 201606090000 CHANGE Receiver change
ALBH00CAN 58499.9278 201901162216 CHANGE Receiver change
CASC00PRT 51449.0000 199909280000 CHANGE Receiver & Antenna change
CASC00PRT 52465.6667 200207101600 CHANGE Receiver change
CASC00PRT 54039.0000 200610310000 CHANGE Receiver change
CASC00PRT 54526.5833 200803011400 CHANGE Receiver & Antenna change
CASC00PRT 54734.4479 200809251045 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 54923.4410 200904021035 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 54943.6562 200904221545 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 54951.4861 200904301140 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 55315.6458 201004291530 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 56313.6361 201301211516 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 56831.6451 201406231529 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 57751.5063 201612291209 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 57863.4292 201704201018 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 58744.6250 201909181500 CHANGE Antenna change
CASC00PRT 58749.5417 201909231300 CHANGE Receiver change
CASC00PRT 58802.5625 201911151330 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 58982.6229 202005131457 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 59123.5257 202010011237 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 59240.7778 202101261840 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 59892.5354 202211091251 CHANGE Other site log entry (firmware upgrade, cable change, ...)
CASC00PRT 60359.4597 202402191102 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 48977.0000 199212210000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 49409.0069 199402260010 CHANGE Receiver change
STJO00CAN 49425.8354 199403142003 CHANGE Antenna change
STJO00CAN 49774.5611 199502261328 CHANGE Antenna change
STJO00CAN 49778.6250 199503021500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 49778.9139 199503022156 CHANGE Antenna change
STJO00CAN 50002.8146 199510121933 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 50024.5208 199511031230 CHANGE Antenna change
STJO00CAN 50296.9167 199608012200 CHANGE Antenna change
STJO00CAN 50431.0000 199612140000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 50478.8889 199701302120 CHANGE Receiver change
STJO00CAN 50623.7319 199706241734 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 51217.8826 199902082111 CHANGE Receiver change
STJO00CAN 51231.9167 199902222200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 51389.0000 199907300000 CHANGE Receiver change
STJO00CAN 51391.0000 199908010000 CHANGE Receiver change
STJO00CAN 51396.0000 199908060000 CHANGE Receiver change
STJO00CAN 51690.8472 200005262020 CHANGE Antenna change
STJO00CAN 52801.6979 200306111645 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 52859.6042 200308081430 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 52906.5521 200309241315 CHANGE Receiver change
STJO00CAN 53060.0000 200402250000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 55273.6250 201003181500 CHANGE Receiver change
STJO00CAN 56323.9583 201301312300 CHANGE Receiver & Antenna change
STJO00CAN 56791.7840 201405141849 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 56980.7917 201411191900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 57377.6319 201512211510 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 58025.5812 201709291357 CHANGE Receiver change
STJO00CAN 58042.7840 201710161849 CHANGE Receiver change
STJO00CAN 58560.5785 201903181353 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 59766.8375 202207062006 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 59781.9000 202207212136 CHANGE Other site log entry (firmware upgrade, cable change, ...)
STJO00CAN 60066.6375 202305021518 CHANGE Receiver change
STJO00CAN 60067.5729 202305031345 CHANGE Antenna change
STJO00CAN 60068.6875 202305041630 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 50666.0000 199708060000 CHANGE Receiver change
ZIMM00CHE 51123.0000 199811060000 CHANGE Antenna change
ZIMM00CHE 51361.0000 199907020000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 51406.0000 199908160000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 52863.5833 200308121400 CHANGE Receiver change
ZIMM00CHE 53788.5833 200602221400 CHANGE Receiver change
ZIMM00CHE 54557.5903 200804011410 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 56784.3056 201405070720 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 57139.3021 201504270715 CHANGE Receiver change
ZIMM00CHE 57192.2708 201506190630 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 57245.3646 201508110845 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 57372.3889 201512160920 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 57790.3472 201702060820 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ZIMM00CHE 57792.4639 201702081108 CHANGE Other site log entry (firmware upgrade, cable change, ...)
